,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
231,2020,3,Río Negro,131,501.0,131
232,2020,3,Salta,181,2.0,181
233,2020,3,San Juan,77,256.0,77
234,2020,3,San Luis,116,148.0,117
235,2020,3,Santa Cruz,39,197.0,39
236,2020,3,Santa Fe,803,137.0,803
237,2020,3,Santiago Del Estero,105,1.0,105
238,2020,3,Tierra Del Fuego,39,289.0,40
239,2020,3,Tucumán,224,22.0,224
240,2020,2,Buenos Aires,4,5.0,4
241,2020,2,Capital Federal,1,1.0,1
242,2020,2,Catamarca,48,1.0,48
243,2020,2,Chaco,128,3.0,128
244,2020,2,Chubut,108,825.0,109
245,2020,2,Córdoba,836,55.0,836
246,2020,2,Corrientes,119,3.0,119
247,2020,2,Entre Ríos,234,13.0,234
248,2020,2,Formosa,48,0.0,48
249,2020,2,Jujuy,94,0.0,94
250,2020,2,La Pampa,90,116.0,90
251,2020,2,La Rioja,52,3.0,52
252,2020,2,Mendoza,201,615.0,201
253,2020,2,Misiones,140,0.0,140
254,2020,2,Neuquén,126,373.0,126
255,2020,2,Río Negro,129,501.0,129
256,2020,2,Salta,178,2.0,178
257,2020,2,San Juan,70,256.0,70
258,2020,2,San Luis,114,148.0,114
259,2020,2,Santa Cruz,39,197.0,39
260,2020,2,Santa Fe,778,137.0,778
261,2020,2,Santiago Del Estero,105,1.0,105
262,2020,2,Tierra Del Fuego,39,289.0,39
263,2020,2,Tucumán,217,22.0,217
264,2020,1,Buenos Aires,4,5.0,4
265,2020,1,Capital Federal,1,1.0,1
266,2020,1,Catamarca,40,1.0,40
267,2020,1,Chaco,120,3.0,120
268,2020,1,Chubut,96,800.0,97
269,2020,1,Córdoba,811,55.0,811
270,2020,1,Corrientes,114,3.0,114
271,2020,1,Entre Ríos,232,13.0,232
272,2020,1,Formosa,46,0.0,46
273,2020,1,Jujuy,92,0.0,92
274,2020,1,La Pampa,89,116.0,89
275,2020,1,La Rioja,48,3.0,48
276,2020,1,Mendoza,183,615.0,183
