,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
117,2018.0,4.0,Santa Fe,335.0,276.30100000000004,153.03799999999998,98.416,31.397,950.179,1119.261,28.45
118,2018.0,4.0,Santiago Del Estero,39.0,67.34100000000001,657.032,77.0,910.342,20.127,29.0,326.0
119,2018.0,4.0,Tierra Del Fuego,6.0,299.649,157.746,24.0,27.0,61.268,67.0,0.0
120,2018.0,4.0,Tucumán,16.0,1001.169,101.036,847.0,5.244,74.73400000000001,377.0,92.0
121,2019.0,1.0,Buenos Aires,162.513,0.0,585.419,1498.3149999999998,72.29599999999999,857.855,1093.95,6.369
122,2019.0,1.0,Capital Federal,74.0,367.703,345.107,366.718,22.402,244.893,260.857,0.0
123,2019.0,1.0,Catamarca,34.0,366.413,302.309,29.0,1.708,227.222,7.0,2.151
124,2019.0,1.0,Chaco,69.0,524.233,404.579,610.794,3.801,26.631,948.697,1.035
125,2019.0,1.0,Chubut,66.0,485.662,787.0,74.0,7.934,317.26,164.0,0.0
126,2019.0,1.0,Córdoba,81.0,242.769,203.678,129.971,1013.409,96.997,38.271,6.806
127,2019.0,1.0,Corrientes,10.0,912.527,401.112,136.561,6.47,26.562,676.894,0.0
128,2019.0,1.0,Entre Ríos,18.0,107.013,570.415,195.968,9.217,234.883,407.546,12.142
129,2019.0,1.0,Formosa,1.11,1318.7880000000002,25.011000000000003,602.498,193.832,7.299,1.446,0.0
130,2019.0,1.0,Jujuy,27.0,340.417,5.02,30.0,108.711,8.809999999999999,14.0,37.162
131,2019.0,1.0,La Pampa,236.0,601.007,1061.0,1354.0,321.014,6.464,332.0,698.0
132,2019.0,1.0,La Rioja,9.0,146.179,527.693,17.0,1.169,4.088,5.0,0.0
133,2019.0,1.0,Mendoza,20.0,466.122,722.984,121.0,12.775,1203.635,114.0,0.0
134,2019.0,1.0,Misiones,47.0,208.103,416.713,380.188,5.946,25.89,128.51,7.654
135,2019.0,1.0,Neuquén,1.328,1362.049,262.211,197.963,359.698,99.683,7.384,6.105
136,2019.0,1.0,Río Negro,384.0,84.845,852.775,100.503,97.487,91.947,11.532,3.719
137,2019.0,1.0,Salta,49.0,260.043,22.91,378.493,5.231,36.473,2.285,1.0
138,2019.0,1.0,San Juan,22.0,68.374,520.0,3.0,229.0,266.0,1.0,560.0
139,2019.0,1.0,San Luis,57.0,668.7320000000001,345.0,8.0,120.0,181.086,0.0,23.577
140,2019.0,1.0,Santa Cruz,25.0,24.987,702.0,26.0,128.0,143.59,3.0,0.0
141,2019.0,1.0,Santa Fe,333.0,296.798,293.072,98.559,29.35,970.111,1117.346,18.591
142,2019.0,1.0,Santiago Del Estero,39.0,68.889,880.082,85.0,910.464,20.691000000000003,36.0,0.0
143,2019.0,1.0,Tierra Del Fuego,6.0,1154.734,641.0,80.0,131.0,8.618,29.0,0.0
144,2019.0,1.0,Tucumán,16.0,975.346,196.04,847.0,5.188,91.828,377.0,0.0
145,2019.0,2.0,Buenos Aires,199.768,0.0,551.55,1422.388,63.051,299.703,1374.879,43.438
146,2019.0,2.0,Capital Federal,74.0,345.322,254.676,297.16,21.99,196.015,427.172,0.0
147,2019.0,2.0,Catamarca,34.0,476.928,398.656,34.0,1.284,120.558,10.0,2.151
148,2019.0,2.0,Chaco,69.0,521.01,269.536,597.765,3.376,28.429,951.049,1.492
149,2019.0,2.0,Chubut,66.0,490.545,1495.0,74.0,8.013,337.721,164.0,4.5
150,2019.0,2.0,Córdoba,81.0,234.49,183.432,172.16500000000002,943.18,114.498,103.753,8.938
151,2019.0,2.0,Corrientes,10.0,1223.8249999999998,263.863,209.73,6.423,27.774,677.897,6.08
152,2019.0,2.0,Entre Ríos,18.0,96.648,347.871,276.968,9.944,259.109,409.247,17.206
153,2019.0,2.0,Formosa,1.11,367.945,901.49,405.236,193.381,7.397,1.672,100.0
154,2019.0,2.0,Jujuy,27.0,480.178,26.7,27.0,2.539,9.44,303.0,21.765
155,2019.0,2.0,La Pampa,236.0,70.371,309.058,1445.0,321.011,7.189,550.0,2.661
156,2019.0,2.0,La Rioja,9.0,134.808,454.407,13.0,926.0,4.297,22.0,0.0
157,2019.0,2.0,Mendoza,20.0,466.419,755.346,1266.0,13.995,1220.752,155.0,0.0
158,2019.0,2.0,Misiones,47.0,302.468,269.154,416.484,4.268,27.385,130.282,12.206
159,2019.0,2.0,Neuquén,302.0,1049.387,1471.862,265.974,360.081,4.688000000000001,8.827,422.0
160,2019.0,2.0,Río Negro,384.0,650.502,697.6030000000001,156.29,97.557,154.049,12.65,18.519
161,2019.0,2.0,Salta,49.0,58.302,16.961,428.644,4.308,36.923,4.947,7.585
162,2019.0,2.0,San Juan,22.0,66.899,785.0,7.0,221.0,292.886,1.0,6.119
163,2019.0,2.0,San Luis,57.0,1244.334,467.0,63.232,114.0,135.833,0.0,37.977
164,2019.0,2.0,Santa Cruz,25.0,638.2030000000001,1202.0,28.0,128.0,811.997,3.0,0.0
165,2019.0,2.0,Santa Fe,321.0,285.023,269.601,100.139,23.528,125.176,1123.898,22.323
166,2019.0,2.0,Santiago Del Estero,39.0,754.495,3.741,108.0,910.004,21.362,214.0,34.501
167,2019.0,2.0,Tierra Del Fuego,6.0,1091.773,158.416,96.0,123.0,18.227,30.0,0.0
168,2019.0,2.0,Tucumán,16.0,1075.555,245.07,628.0,4.491,92.248,1.496,0.0
169,2019.0,3.0,Buenos Aires,256.902,0.0,371.396,1409.679,61.101,951.083,0.0,30.844
