,Año,Trimestre,Provincia,Velocidad,Conexiones
186,2019.0,3.0,San Luis,Hasta 512 kbps,57.0
187,2019.0,3.0,Santa Cruz,Hasta 512 kbps,28.0
188,2019.0,3.0,Santa Fe,Hasta 512 kbps,640.0
189,2019.0,3.0,Santiago Del Estero,Hasta 512 kbps,39.0
190,2019.0,3.0,Tierra Del Fuego,Hasta 512 kbps,6.0
191,2019.0,3.0,Tucumán,Hasta 512 kbps,16.0
192,2019.0,4.0,Buenos Aires,Hasta 512 kbps,658.863
193,2019.0,4.0,Capital Federal,Hasta 512 kbps,307.0
194,2019.0,4.0,Catamarca,Hasta 512 kbps,63.0
195,2019.0,4.0,Chaco,Hasta 512 kbps,83.0
196,2019.0,4.0,Chubut,Hasta 512 kbps,158.0
197,2019.0,4.0,Córdoba,Hasta 512 kbps,142.0
198,2019.0,4.0,Corrientes,Hasta 512 kbps,72.0
199,2019.0,4.0,Entre Ríos,Hasta 512 kbps,47.0
200,2019.0,4.0,Formosa,Hasta 512 kbps,18.11
201,2019.0,4.0,Jujuy,Hasta 512 kbps,55.0
202,2019.0,4.0,La Pampa,Hasta 512 kbps,293.0
203,2019.0,4.0,La Rioja,Hasta 512 kbps,21.0
204,2019.0,4.0,Mendoza,Hasta 512 kbps,746.0
205,2019.0,4.0,Misiones,Hasta 512 kbps,71.0
206,2019.0,4.0,Neuquén,Hasta 512 kbps,218.0
207,2019.0,4.0,Río Negro,Hasta 512 kbps,114.0
208,2019.0,4.0,Salta,Hasta 512 kbps,149.0
209,2019.0,4.0,San Juan,Hasta 512 kbps,48.0
210,2019.0,4.0,San Luis,Hasta 512 kbps,105.0
211,2019.0,4.0,Santa Cruz,Hasta 512 kbps,67.0
212,2019.0,4.0,Santa Fe,Hasta 512 kbps,698.0
213,2019.0,4.0,Santiago Del Estero,Hasta 512 kbps,133.0
214,2019.0,4.0,Tierra Del Fuego,Hasta 512 kbps,11.0
215,2019.0,4.0,Tucumán,Hasta 512 kbps,55.0
216,2020.0,1.0,Buenos Aires,Hasta 512 kbps,663.5889999999999
217,2020.0,1.0,Capital Federal,Hasta 512 kbps,264.0
218,2020.0,1.0,Catamarca,Hasta 512 kbps,63.0
219,2020.0,1.0,Chaco,Hasta 512 kbps,419.0
220,2020.0,1.0,Chubut,Hasta 512 kbps,158.0
221,2020.0,1.0,Córdoba,Hasta 512 kbps,142.0
222,2020.0,1.0,Corrientes,Hasta 512 kbps,72.0
223,2020.0,1.0,Entre Ríos,Hasta 512 kbps,130.0
224,2020.0,1.0,Formosa,Hasta 512 kbps,18.11
225,2020.0,1.0,Jujuy,Hasta 512 kbps,55.0
226,2020.0,1.0,La Pampa,Hasta 512 kbps,293.0
227,2020.0,1.0,La Rioja,Hasta 512 kbps,21.0
228,2020.0,1.0,Mendoza,Hasta 512 kbps,58.0
229,2020.0,1.0,Misiones,Hasta 512 kbps,71.0
230,2020.0,1.0,Neuquén,Hasta 512 kbps,218.0
231,2020.0,1.0,Río Negro,Hasta 512 kbps,114.0
232,2020.0,1.0,Salta,Hasta 512 kbps,129.0
233,2020.0,1.0,San Juan,Hasta 512 kbps,48.0
234,2020.0,1.0,San Luis,Hasta 512 kbps,105.0
235,2020.0,1.0,Santa Cruz,Hasta 512 kbps,67.0
236,2020.0,1.0,Santa Fe,Hasta 512 kbps,696.0
237,2020.0,1.0,Santiago Del Estero,Hasta 512 kbps,133.0
238,2020.0,1.0,Tierra Del Fuego,Hasta 512 kbps,11.0
239,2020.0,1.0,Tucumán,Hasta 512 kbps,52.0
240,2020.0,2.0,Buenos Aires,Hasta 512 kbps,662.9159999999999
241,2020.0,2.0,Capital Federal,Hasta 512 kbps,264.0
242,2020.0,2.0,Catamarca,Hasta 512 kbps,63.0
243,2020.0,2.0,Chaco,Hasta 512 kbps,419.0
244,2020.0,2.0,Chubut,Hasta 512 kbps,158.0
245,2020.0,2.0,Córdoba,Hasta 512 kbps,168.0
246,2020.0,2.0,Corrientes,Hasta 512 kbps,72.0
