,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,BAF,Dial Up
252,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,291,777.0
253,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,186,0.0
254,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,160,468.0
255,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,162,548.0
256,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,206,5.0
257,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,104,281.0
258,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,135,192.0
259,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,50,198.0
260,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,888,110.0
261,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,119,2.0
262,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,55,312.0
263,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,263,30.0
264,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,5,6.0
265,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,2,2.0
266,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,71,1.0
267,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,144,5.0
268,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,168,904.0
269,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,1,68.0
270,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,155,4.0
271,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,271,22.0
272,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,62,0.0
273,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,118,0.0
274,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,114,171.0
275,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,86,4.0
276,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,291,777.0
277,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,186,0.0
278,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,160,468.0
279,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,162,548.0
280,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,206,5.0
281,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,104,281.0
282,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,135,192.0
283,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,50,198.0
284,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,888,110.0
285,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,119,2.0
286,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,55,312.0
287,2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,263,30.0
288,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,5,6.0
289,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,2,2.0
