,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
114,2021,4,San Luis,ADSL,8000,Oeste,1.48,5.92
115,2021,4,Santa Cruz,ADSL,11000,Sur,3.3,13.2
116,2021,4,Santa Fe,ADSL,233000,Centro,6.85,27.4
117,2021,4,Santiago Del Estero,ADSL,19000,Noreste,1.8,7.2
118,2021,4,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
119,2021,4,Tucumán,ADSL,98000,Noroeste,3.98,15.92
120,2021,3,Buenos Aires,ADSL,586000,Centro,3.34,13.36
121,2021,3,Capital Federal,ADSL,143000,Centro,4.58,18.32
122,2021,3,Catamarca,ADSL,18000,Noroeste,4.55,18.2
123,2021,3,Chaco,ADSL,38000,Noreste,3.33,13.32
124,2021,3,Chubut,ADSL,49000,Sur,8.13,32.52
125,2021,3,Córdoba,ADSL,229000,Centro,6.92,27.68
126,2021,3,Corrientes,ADSL,45000,Noreste,3.76,15.04
127,2021,3,Entre Ríos,ADSL,74000,Centro,5.19,20.76
128,2021,3,Formosa,ADSL,18000,Noreste,3.4,13.6
129,2021,3,Jujuy,ADSL,24000,Noroeste,3.01,12.04
130,2021,3,La Pampa,ADSL,9000,Oeste,2.46,9.84
131,2021,3,La Rioja,ADSL,11000,Oeste,3.49,13.96
132,2021,3,Mendoza,ADSL,91000,Oeste,5.23,20.92
133,2021,3,Misiones,ADSL,43000,Noreste,3.36,13.44
134,2021,3,Neuquén,ADSL,30000,Sur,4.13,16.52
135,2021,3,Río Negro,ADSL,48000,Sur,6.3,25.2
136,2021,3,Salta,ADSL,49000,Noroeste,3.4,13.6
137,2021,3,San Juan,ADSL,40000,Oeste,4.89,19.56
138,2021,3,San Luis,ADSL,8000,Oeste,1.48,5.92
139,2021,3,Santa Cruz,ADSL,12000,Sur,3.6,14.4
140,2021,3,Santa Fe,ADSL,246000,Centro,7.24,28.96
141,2021,3,Santiago Del Estero,ADSL,20000,Noreste,1.9,7.6
142,2021,3,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
143,2021,3,Tucumán,ADSL,104000,Noroeste,4.23,16.92
144,2021,2,Buenos Aires,ADSL,603000,Centro,3.43,13.72
145,2021,2,Capital Federal,ADSL,149000,Centro,4.78,19.12
146,2021,2,Catamarca,ADSL,20000,Noroeste,5.05,20.2
147,2021,2,Chaco,ADSL,40000,Noreste,3.51,14.04
148,2021,2,Chubut,ADSL,49000,Sur,8.13,32.52
149,2021,2,Córdoba,ADSL,240000,Centro,7.26,29.04
150,2021,2,Corrientes,ADSL,47000,Noreste,3.93,15.72
151,2021,2,Entre Ríos,ADSL,78000,Centro,5.47,21.88
152,2021,2,Formosa,ADSL,20000,Noreste,3.77,15.08
153,2021,2,Jujuy,ADSL,25000,Noroeste,3.14,12.56
154,2021,2,La Pampa,ADSL,9000,Oeste,2.46,9.84
155,2021,2,La Rioja,ADSL,12000,Oeste,3.81,15.24
156,2021,2,Mendoza,ADSL,92000,Oeste,5.28,21.12
157,2021,2,Misiones,ADSL,45000,Noreste,3.52,14.08
158,2021,2,Neuquén,ADSL,30000,Sur,4.13,16.52
159,2021,2,Río Negro,ADSL,48000,Sur,6.3,25.2
160,2021,2,Salta,ADSL,51000,Noroeste,3.54,14.16
161,2021,2,San Juan,ADSL,40000,Oeste,4.89,19.56
162,2021,2,San Luis,ADSL,8000,Oeste,1.48,5.92
163,2021,2,Santa Cruz,ADSL,12000,Sur,3.6,14.4
164,2021,2,Santa Fe,ADSL,257000,Centro,7.56,30.24
165,2021,2,Santiago Del Estero,ADSL,21000,Noreste,1.99,7.96
166,2021,2,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
167,2021,2,Tucumán,ADSL,110000,Noroeste,4.47,17.88
168,2021,1,Buenos Aires,ADSL,630000,Centro,3.59,14.36
169,2021,1,Capital Federal,ADSL,160000,Centro,5.13,20.52
170,2021,1,Catamarca,ADSL,26000,Noroeste,6.57,26.28
171,2021,1,Chaco,ADSL,43000,Noreste,3.77,15.08
172,2021,1,Chubut,ADSL,46000,Sur,7.63,30.52
173,2021,1,Córdoba,ADSL,260000,Centro,7.86,31.44
174,2021,1,Corrientes,ADSL,49000,Noreste,4.09,16.36
175,2021,1,Entre Ríos,ADSL,84000,Centro,5.89,23.56
176,2021,1,Formosa,ADSL,21000,Noreste,3.96,15.84
177,2021,1,Jujuy,ADSL,32000,Noroeste,4.02,16.08
178,2021,1,La Pampa,ADSL,9000,Oeste,2.46,9.84
